INCIDENT_ID,DATA_YEAR,STATE_ABBR,SUM_VICTIM_COUNT,latitude,longitude,STATE_NAME
28817,2013,TN,255,35.517491,-86.580447,Tennessee
28818,2013,TX,188,31.968599,-99.901813,Texas
28819,2013,UT,94,39.32098,-111.093731,Utah
28820,2013,VA,135,37.431573,-78.656894,Virginia
28821,2013,VT,15,44.558803,-72.577841,Vermont
28822,2013,WA,380,47.751074,-120.740139,Washington
28823,2013,WI,75,43.78444,-88.787868,Wisconsin
28824,2013,WV,64,38.597626,-80.454903,West Virginia
28825,2013,WY,1,43.075968,-107.290284,Wyoming
28826,2012,AK,6,63.588753,-154.493062,Alaska
28827,2012,AL,6,32.318231,-86.902298,Alabama
28828,2012,AR,52,35.20105,-91.831833,Arkansas
28829,2012,AZ,218,34.048928,-111.093731,Arizona
28830,2012,CA,1150,36.778261,-119.417932,California
28831,2012,CO,253,39.550051,-105.782067,Colorado
28832,2012,CT,192,41.603221,-73.087749,Connecticut
28833,2012,DC,81,38.905985,-77.033418,District of Columbia
28834,2012,DE,16,38.910832,-75.52767,Delaware
28835,2012,FL,170,27.664827,-81.515754,Florida
28836,2012,GA,22,32.157435,-82.907123,Georgia
28837,2012,IA,8,41.878003,-93.097702,Iowa
28838,2012,ID,42,44.068202,-114.742041,Idaho
28839,2012,IL,109,40.633125,-89.398528,Illinois
28840,2012,IN,38,40.551217,-85.602364,Indiana
28841,2012,KS,101,39.011902,-98.484246,Kansas
28842,2012,KY,249,37.839333,-84.270018,Kentucky
28843,2012,LA,4,31.244823,-92.145024,Louisiana
28844,2012,MA,359,42.407211,-71.382437,Massachusetts
28845,2012,MD,47,39.045755,-76.641271,Maryland
28846,2012,ME,62,45.253783,-69.445469,Maine
28847,2012,MI,753,44.314844,-85.602364,Michigan
28848,2012,MN,89,46.729553,-94.6859,Minnesota
28849,2012,MO,126,37.964253,-91.831833,Missouri
28850,2012,MS,19,32.354668,-89.398528,Mississippi
28851,2012,MT,47,46.879682,-110.362566,Montana
28852,2012,NE,10,41.492537,-99.901813,Nebraska
28853,2012,NC,145,35.759573,-79.0193,North Carolina
28854,2012,ND,56,47.551493,-101.002012,North Dakota
28855,2012,NH,41,43.193852,-71.572395,New Hampshire
28856,2012,NJ,534,40.058324,-74.405661,New Jersey
28857,2012,NM,4,34.97273,-105.032363,New Mexico
28858,2012,NV,123,38.80261,-116.419389,Nevada
28859,2012,NY,900,43.299428,-74.217933,New York
28860,2012,OH,316,40.417287,-82.907123,Ohio
